review_id,review_text,sentiment
81,Not happy with the overall service,negative
82,Customer support was very helpful,positive
83,Terrible service and rude delivery partner,negative
84,Experience was neither good nor bad,neutral
85,App keeps crashing frequently,negative
86,"Amazing experience, will order again",positive
87,Wrong items delivered again,negative
88,Refund process is too slow,negative
89,"Delivery was okay, nothing special",neutral
90,App works fine most of the time,neutral
91,Customer service is very bad,negative
92,Prices are slightly high but service is okay,neutral
93,Not happy with the overall service,negative
94,App keeps crashing frequently,negative
95,"Super quick delivery, highly recommended",positive
96,"Super quick delivery, highly recommended",positive
97,Experience was neither good nor bad,neutral
98,Experience was neither good nor bad,neutral
99,"Worst experience, order got cancelled",negative
100,Loved the quick service and fresh products,positive
101,Products were fresh and well packed,positive
102,Prices are slightly high but service is okay,neutral
103,Order arrived as expected,neutral
104,"Super quick delivery, highly recommended",positive
105,"Amazing experience, will order again",positive
106,"Worst experience, order got cancelled",negative
107,App works fine most of the time,neutral
108,Smooth ordering and fast checkout,positive
109,Overall experience is normal,neutral
110,Not happy with the overall service,negative
111,Not happy with the overall service,negative
112,Refund process is too slow,negative
113,Refund process is too slow,negative
114,Terrible service and rude delivery partner,negative
115,Not happy with the overall service,negative
116,Product quality is fine,neutral
117,Delivery was super fast and very convenient,positive
118,Prices are slightly high but service is okay,neutral
119,Support team responded late,neutral
120,Delivery time was acceptable,neutral
121,Overall experience is normal,neutral
122,Very happy with the app and delivery speed,positive
123,"Worst experience, order got cancelled",negative
124,Overall experience is normal,neutral
125,Loved the quick service and fresh products,positive
126,Not happy with the overall service,negative
127,Loved the quick service and fresh products,positive
128,Products were fresh and well packed,positive
129,Delivery was very late and disappointing,negative
130,App works fine most of the time,neutral
131,Product quality is fine,neutral
132,Prices are slightly high but service is okay,neutral
133,App works fine most of the time,neutral
134,Product quality is fine,neutral
135,App works fine most of the time,neutral
136,Order arrived as expected,neutral
137,Products were fresh and well packed,positive
138,Product quality is fine,neutral
139,Very happy with the app and delivery speed,positive
140,Customer support was very helpful,positive
141,Support team responded late,neutral
142,Customer service is very bad,negative
143,Not happy with the overall service,negative
144,Wrong items delivered again,negative
145,Great service and friendly delivery partner,positive
146,"Very slow delivery, not satisfied",negative
147,Overall experience is normal,neutral
148,"Service is average, could be better",neutral
149,"Very slow delivery, not satisfied",negative
150,"Super quick delivery, highly recommended",positive
151,Order arrived as expected,neutral
152,Wrong items delivered again,negative
153,Products were fresh and well packed,positive
154,Prices are slightly high but service is okay,neutral
155,Products were damaged and poorly packed,negative
156,Products were damaged and poorly packed,negative
157,Smooth ordering and fast checkout,positive
158,Overall experience is normal,neutral
159,Smooth ordering and fast checkout,positive
160,Product quality is fine,neutral
161,Delivery time was acceptable,neutral
162,Terrible service and rude delivery partner,negative
163,Order arrived as expected,neutral
164,App works fine most of the time,neutral
165,Delivery was super fast and very convenient,positive
166,Customer service is very bad,negative
167,Overall experience is normal,neutral
168,Very happy with the app and delivery speed,positive
169,Support team responded late,neutral
170,Customer support was very helpful,positive
171,"Worst experience, order got cancelled",negative
172,Order arrived as expected,neutral
173,Delivery time was acceptable,neutral
174,"Delivery was okay, nothing special",neutral
175,Terrible service and rude delivery partner,negative
176,Not happy with the overall service,negative
177,Not happy with the overall service,negative
178,Wrong items delivered again,negative
179,"Amazing experience, will order again",positive
180,"Service is average, could be better",neutral
181,Great service and friendly delivery partner,positive
182,App works fine most of the time,neutral
183,Customer service is very bad,negative
184,Overall experience is normal,neutral
185,Wrong items delivered again,negative
186,Loved the quick service and fresh products,positive
187,"Amazing experience, will order again",positive
188,Products were fresh and well packed,positive
189,Wrong items delivered again,negative
190,Support team responded late,neutral
191,Terrible service and rude delivery partner,negative
192,Support team responded late,neutral
193,Refund process is too slow,negative
194,Delivery was super fast and very convenient,positive
195,"Delivery was okay, nothing special",neutral
196,Wrong items delivered again,negative
197,"Service is average, could be better",neutral
198,Loved the quick service and fresh products,positive
199,Experience was neither good nor bad,neutral
200,Products were damaged and poorly packed,negative
201,Delivery time was acceptable,neutral
202,Overall experience is normal,neutral
203,Order arrived as expected,neutral
204,App keeps crashing frequently,negative
205,Products were damaged and poorly packed,negative
206,Products were fresh and well packed,positive
207,App keeps crashing frequently,negative
208,Very happy with the app and delivery speed,positive
209,Terrible service and rude delivery partner,negative
210,"Delivery was okay, nothing special",neutral
211,Experience was neither good nor bad,neutral
212,Experience was neither good nor bad,neutral
213,Loved the quick service and fresh products,positive
214,Products were fresh and well packed,positive
215,Delivery was very late and disappointing,negative
216,Customer service is very bad,negative
217,Support team responded late,neutral
218,"Service is average, could be better",neutral
219,"Service is average, could be better",neutral
220,"Very slow delivery, not satisfied",negative
221,Refund process is too slow,negative
222,App keeps crashing frequently,negative
223,Products were fresh and well packed,positive
224,Product quality is fine,neutral
225,Overall experience is normal,neutral
226,Delivery was very late and disappointing,negative
227,Prices are slightly high but service is okay,neutral
228,Not happy with the overall service,negative
229,Great service and friendly delivery partner,positive
230,Delivery time was acceptable,neutral
231,Excellent experience with instant delivery,positive
232,Support team responded late,neutral
233,Prices are slightly high but service is okay,neutral
234,App works fine most of the time,neutral
235,Great service and friendly delivery partner,positive
236,"Worst experience, order got cancelled",negative
237,"Delivery was okay, nothing special",neutral
238,Very happy with the app and delivery speed,positive
239,App keeps crashing frequently,negative
240,Customer support was very helpful,positive
241,Great service and friendly delivery partner,positive
242,Very happy with the app and delivery speed,positive
243,App works fine most of the time,neutral
244,Wrong items delivered again,negative
245,Refund process is too slow,negative
246,Prices are slightly high but service is okay,neutral
247,Customer service is very bad,negative
248,Excellent experience with instant delivery,positive
249,Prices are slightly high but service is okay,neutral
250,Not happy with the overall service,negative
251,Very happy with the app and delivery speed,positive
252,Great service and friendly delivery partner,positive
253,"Service is average, could be better",neutral
254,"Service is average, could be better",neutral
255,Terrible service and rude delivery partner,negative
256,"Worst experience, order got cancelled",negative
257,Product quality is fine,neutral
258,Customer support was very helpful,positive
259,Customer support was very helpful,positive
260,Excellent experience with instant delivery,positive
261,Very happy with the app and delivery speed,positive
262,Not happy with the overall service,negative
263,Customer service is very bad,negative
264,Prices are slightly high but service is okay,neutral
265,Overall experience is normal,neutral
266,"Very slow delivery, not satisfied",negative
267,Customer support was very helpful,positive
268,App works fine most of the time,neutral
269,Products were damaged and poorly packed,negative
270,"Worst experience, order got cancelled",negative
271,Terrible service and rude delivery partner,negative
272,Prices are slightly high but service is okay,neutral
273,Terrible service and rude delivery partner,negative
274,"Super quick delivery, highly recommended",positive
275,Customer service is very bad,negative
276,App works fine most of the time,neutral
277,"Very slow delivery, not satisfied",negative
278,App works fine most of the time,neutral
279,Product quality is fine,neutral
280,Terrible service and rude delivery partner,negative
281,Product quality is fine,neutral
282,"Worst experience, order got cancelled",negative
283,Smooth ordering and fast checkout,positive
284,Experience was neither good nor bad,neutral
285,Great service and friendly delivery partner,positive
286,Prices are slightly high but service is okay,neutral
287,App keeps crashing frequently,negative
288,Products were damaged and poorly packed,negative
289,Products were damaged and poorly packed,negative
290,Delivery was very late and disappointing,negative
291,Delivery was super fast and very convenient,positive
292,Delivery time was acceptable,neutral
293,Smooth ordering and fast checkout,positive
294,Very happy with the app and delivery speed,positive
295,Delivery was super fast and very convenient,positive
296,"Very slow delivery, not satisfied",negative
297,"Delivery was okay, nothing special",neutral
298,Products were fresh and well packed,positive
299,Customer service is very bad,negative
300,"Amazing experience, will order again",positive
301,Wrong items delivered again,negative
302,Product quality is fine,neutral
303,Very happy with the app and delivery speed,positive
304,Products were damaged and poorly packed,negative
305,Great service and friendly delivery partner,positive
306,Experience was neither good nor bad,neutral
307,Smooth ordering and fast checkout,positive
308,Products were fresh and well packed,positive
309,"Delivery was okay, nothing special",neutral
310,"Delivery was okay, nothing special",neutral
311,Loved the quick service and fresh products,positive
312,Customer service is very bad,negative
313,Products were fresh and well packed,positive
314,"Service is average, could be better",neutral
315,Prices are slightly high but service is okay,neutral
316,Experience was neither good nor bad,neutral
317,Delivery time was acceptable,neutral
318,Experience was neither good nor bad,neutral
319,"Worst experience, order got cancelled",negative
320,Experience was neither good nor bad,neutral
321,Delivery time was acceptable,neutral
322,Delivery was super fast and very convenient,positive
323,Very happy with the app and delivery speed,positive
324,Products were damaged and poorly packed,negative
325,Not happy with the overall service,negative
326,"Delivery was okay, nothing special",neutral
327,Smooth ordering and fast checkout,positive
328,Excellent experience with instant delivery,positive
329,App works fine most of the time,neutral
330,Terrible service and rude delivery partner,negative
331,Excellent experience with instant delivery,positive
332,Delivery was very late and disappointing,negative
333,Terrible service and rude delivery partner,negative
334,Support team responded late,neutral
335,Customer service is very bad,negative
336,Order arrived as expected,neutral
337,"Service is average, could be better",neutral
338,"Service is average, could be better",neutral
339,Refund process is too slow,negative
340,Support team responded late,neutral
341,Experience was neither good nor bad,neutral
342,Product quality is fine,neutral
343,App keeps crashing frequently,negative
344,Products were damaged and poorly packed,negative
345,"Very slow delivery, not satisfied",negative
346,Refund process is too slow,negative
347,Delivery was very late and disappointing,negative
348,"Service is average, could be better",neutral
349,Product quality is fine,neutral
350,Terrible service and rude delivery partner,negative
351,App works fine most of the time,neutral
352,Delivery was very late and disappointing,negative
353,Wrong items delivered again,negative
354,Products were damaged and poorly packed,negative
355,Very happy with the app and delivery speed,positive
356,Delivery was super fast and very convenient,positive
357,"Amazing experience, will order again",positive
358,Customer support was very helpful,positive
359,Overall experience is normal,neutral
360,"Super quick delivery, highly recommended",positive
361,"Service is average, could be better",neutral
362,Order arrived as expected,neutral
363,Overall experience is normal,neutral
364,Great service and friendly delivery partner,positive
365,Refund process is too slow,negative
366,Refund process is too slow,negative
367,App works fine most of the time,neutral
368,Smooth ordering and fast checkout,positive
369,Product quality is fine,neutral
370,"Super quick delivery, highly recommended",positive
371,Products were fresh and well packed,positive
372,Very happy with the app and delivery speed,positive
373,Customer support was very helpful,positive
374,Overall experience is normal,neutral
375,Terrible service and rude delivery partner,negative
376,Overall experience is normal,neutral
377,"Super quick delivery, highly recommended",positive
378,Very happy with the app and delivery speed,positive
379,Support team responded late,neutral
380,Great service and friendly delivery partner,positive
381,Refund process is too slow,negative
382,App keeps crashing frequently,negative
383,Experience was neither good nor bad,neutral
384,Product quality is fine,neutral
385,Loved the quick service and fresh products,positive
386,"Service is average, could be better",neutral
387,Great service and friendly delivery partner,positive
388,Excellent experience with instant delivery,positive
389,Products were damaged and poorly packed,negative
390,Customer support was very helpful,positive
391,App works fine most of the time,neutral
392,"Service is average, could be better",neutral
393,App works fine most of the time,neutral
394,App works fine most of the time,neutral
395,Delivery time was acceptable,neutral
396,Customer support was very helpful,positive
397,Terrible service and rude delivery partner,negative
398,"Delivery was okay, nothing special",neutral
399,App works fine most of the time,neutral
400,Terrible service and rude delivery partner,negative
401,Product quality is fine,neutral
402,Customer support was very helpful,positive
403,Excellent experience with instant delivery,positive
404,App works fine most of the time,neutral
405,Customer support was very helpful,positive
406,"Service is average, could be better",neutral
407,"Super quick delivery, highly recommended",positive
408,Product quality is fine,neutral
409,"Delivery was okay, nothing special",neutral
410,Delivery was very late and disappointing,negative
411,Refund process is too slow,negative
412,Customer support was very helpful,positive
413,App works fine most of the time,neutral
414,Order arrived as expected,neutral
415,Great service and friendly delivery partner,positive
416,Products were fresh and well packed,positive
417,"Super quick delivery, highly recommended",positive
418,Products were fresh and well packed,positive
419,Products were fresh and well packed,positive
420,"Very slow delivery, not satisfied",negative
421,Smooth ordering and fast checkout,positive
422,Products were damaged and poorly packed,negative
423,Prices are slightly high but service is okay,neutral
424,Customer service is very bad,negative
425,App works fine most of the time,neutral
426,Delivery time was acceptable,neutral
427,Great service and friendly delivery partner,positive
428,App keeps crashing frequently,negative
429,"Super quick delivery, highly recommended",positive
430,Terrible service and rude delivery partner,negative
431,Products were damaged and poorly packed,negative
432,Products were damaged and poorly packed,negative
433,Delivery was very late and disappointing,negative
434,App keeps crashing frequently,negative
435,Customer support was very helpful,positive
436,Customer support was very helpful,positive
437,Product quality is fine,neutral
438,Delivery was very late and disappointing,negative
439,Loved the quick service and fresh products,positive
440,"Amazing experience, will order again",positive
441,Great service and friendly delivery partner,positive
442,Wrong items delivered again,negative
443,Delivery was super fast and very convenient,positive
444,"Amazing experience, will order again",positive
445,Smooth ordering and fast checkout,positive
446,"Very slow delivery, not satisfied",negative
447,App works fine most of the time,neutral
448,"Service is average, could be better",neutral
449,Customer service is very bad,negative
450,Smooth ordering and fast checkout,positive
451,Wrong items delivered again,negative
452,Great service and friendly delivery partner,positive
453,Prices are slightly high but service is okay,neutral
454,Smooth ordering and fast checkout,positive
455,"Very slow delivery, not satisfied",negative
456,Not happy with the overall service,negative
457,"Amazing experience, will order again",positive
458,Not happy with the overall service,negative
459,Great service and friendly delivery partner,positive
460,Order arrived as expected,neutral
461,Customer service is very bad,negative
462,Delivery time was acceptable,neutral
463,Customer service is very bad,negative
464,Delivery time was acceptable,neutral
465,Prices are slightly high but service is okay,neutral
466,"Very slow delivery, not satisfied",negative
467,"Worst experience, order got cancelled",negative
468,"Amazing experience, will order again",positive
469,Great service and friendly delivery partner,positive
470,Great service and friendly delivery partner,positive
471,Customer support was very helpful,positive
472,"Super quick delivery, highly recommended",positive
473,Delivery was very late and disappointing,negative
474,Not happy with the overall service,negative
475,Delivery was super fast and very convenient,positive
476,Smooth ordering and fast checkout,positive
477,Overall experience is normal,neutral
478,"Worst experience, order got cancelled",negative
479,"Service is average, could be better",neutral
480,Not happy with the overall service,negative
481,Customer service is very bad,negative
482,Prices are slightly high but service is okay,neutral
483,Products were damaged and poorly packed,negative
484,Great service and friendly delivery partner,positive
485,"Super quick delivery, highly recommended",positive
486,"Super quick delivery, highly recommended",positive
487,Delivery time was acceptable,neutral
488,Order arrived as expected,neutral
489,Support team responded late,neutral
490,App works fine most of the time,neutral
491,Not happy with the overall service,negative
492,Prices are slightly high but service is okay,neutral
493,Very happy with the app and delivery speed,positive
494,Products were fresh and well packed,positive
495,Loved the quick service and fresh products,positive
496,Not happy with the overall service,negative
497,Delivery was very late and disappointing,negative
498,App works fine most of the time,neutral
499,Overall experience is normal,neutral
500,Delivery time was acceptable,neutral
501,Overall experience is normal,neutral
502,Delivery was super fast and very convenient,positive
503,Product quality is fine,neutral
504,Excellent experience with instant delivery,positive
505,"Worst experience, order got cancelled",negative
506,Refund process is too slow,negative
507,Very happy with the app and delivery speed,positive
508,Refund process is too slow,negative
509,Loved the quick service and fresh products,positive
510,Wrong items delivered again,negative
511,Excellent experience with instant delivery,positive
512,Customer service is very bad,negative
513,"Super quick delivery, highly recommended",positive
514,Loved the quick service and fresh products,positive
515,"Very slow delivery, not satisfied",negative
516,Products were damaged and poorly packed,negative
517,Terrible service and rude delivery partner,negative
518,Very happy with the app and delivery speed,positive
519,Order arrived as expected,neutral
520,Very happy with the app and delivery speed,positive
521,Experience was neither good nor bad,neutral
522,Refund process is too slow,negative
523,Overall experience is normal,neutral
524,Overall experience is normal,neutral
525,Customer service is very bad,negative
526,Not happy with the overall service,negative
527,"Service is average, could be better",neutral
528,"Worst experience, order got cancelled",negative
529,Overall experience is normal,neutral
530,Smooth ordering and fast checkout,positive
531,Loved the quick service and fresh products,positive
532,App keeps crashing frequently,negative
533,Overall experience is normal,neutral
534,"Worst experience, order got cancelled",negative
535,Excellent experience with instant delivery,positive
536,Products were damaged and poorly packed,negative
537,"Very slow delivery, not satisfied",negative
538,Support team responded late,neutral
539,"Service is average, could be better",neutral
540,Terrible service and rude delivery partner,negative
541,Customer support was very helpful,positive
542,Products were damaged and poorly packed,negative
543,Product quality is fine,neutral
544,Loved the quick service and fresh products,positive
545,Smooth ordering and fast checkout,positive
546,App works fine most of the time,neutral
547,Customer support was very helpful,positive
548,App works fine most of the time,neutral
549,"Very slow delivery, not satisfied",negative
550,Products were fresh and well packed,positive
551,Delivery was super fast and very convenient,positive
552,Loved the quick service and fresh products,positive
553,Product quality is fine,neutral
554,"Super quick delivery, highly recommended",positive
555,Customer support was very helpful,positive
556,Smooth ordering and fast checkout,positive
557,Excellent experience with instant delivery,positive
558,Very happy with the app and delivery speed,positive
559,Great service and friendly delivery partner,positive
560,Products were fresh and well packed,positive
561,Experience was neither good nor bad,neutral
562,Support team responded late,neutral
563,App works fine most of the time,neutral
564,"Service is average, could be better",neutral
565,App works fine most of the time,neutral
566,Excellent experience with instant delivery,positive
567,"Worst experience, order got cancelled",negative
568,"Worst experience, order got cancelled",negative
569,"Worst experience, order got cancelled",negative
570,"Super quick delivery, highly recommended",positive
571,Loved the quick service and fresh products,positive
572,Delivery was very late and disappointing,negative
573,"Delivery was okay, nothing special",neutral
574,Product quality is fine,neutral
575,Customer support was very helpful,positive
576,"Delivery was okay, nothing special",neutral
577,Products were fresh and well packed,positive
578,Delivery time was acceptable,neutral
579,Customer service is very bad,negative
580,Customer support was very helpful,positive
581,Delivery was super fast and very convenient,positive
582,Excellent experience with instant delivery,positive
583,Prices are slightly high but service is okay,neutral
584,"Worst experience, order got cancelled",negative
585,Excellent experience with instant delivery,positive
586,Experience was neither good nor bad,neutral
587,"Very slow delivery, not satisfied",negative
588,Customer support was very helpful,positive
589,"Super quick delivery, highly recommended",positive
590,Product quality is fine,neutral
591,Wrong items delivered again,negative
592,Prices are slightly high but service is okay,neutral
593,Not happy with the overall service,negative
594,"Worst experience, order got cancelled",negative
595,Product quality is fine,neutral
596,Very happy with the app and delivery speed,positive
597,Terrible service and rude delivery partner,negative
598,Customer service is very bad,negative
599,Prices are slightly high but service is okay,neutral
600,"Worst experience, order got cancelled",negative
601,"Super quick delivery, highly recommended",positive
602,Overall experience is normal,neutral
603,App keeps crashing frequently,negative
604,Smooth ordering and fast checkout,positive
605,Products were fresh and well packed,positive
606,Order arrived as expected,neutral
607,"Amazing experience, will order again",positive
608,Delivery was very late and disappointing,negative
609,"Super quick delivery, highly recommended",positive
610,Overall experience is normal,neutral
611,"Worst experience, order got cancelled",negative
612,Terrible service and rude delivery partner,negative
613,Customer support was very helpful,positive
614,Not happy with the overall service,negative
615,Customer service is very bad,negative
616,Not happy with the overall service,negative
617,Wrong items delivered again,negative
618,"Super quick delivery, highly recommended",positive
619,Delivery time was acceptable,neutral
620,"Very slow delivery, not satisfied",negative
621,Products were damaged and poorly packed,negative
622,Delivery time was acceptable,neutral
623,App works fine most of the time,neutral
624,Wrong items delivered again,negative
625,Order arrived as expected,neutral
626,Not happy with the overall service,negative
627,App keeps crashing frequently,negative
628,Very happy with the app and delivery speed,positive
629,"Worst experience, order got cancelled",negative
630,Order arrived as expected,neutral
631,Very happy with the app and delivery speed,positive
632,"Delivery was okay, nothing special",neutral
633,"Very slow delivery, not satisfied",negative
634,Terrible service and rude delivery partner,negative
635,Delivery was very late and disappointing,negative
636,Excellent experience with instant delivery,positive
637,"Service is average, could be better",neutral
638,Wrong items delivered again,negative
639,Loved the quick service and fresh products,positive
640,Great service and friendly delivery partner,positive
641,Terrible service and rude delivery partner,negative
642,Refund process is too slow,negative
643,"Amazing experience, will order again",positive
644,Order arrived as expected,neutral
645,Wrong items delivered again,negative
646,"Worst experience, order got cancelled",negative
647,App keeps crashing frequently,negative
648,Loved the quick service and fresh products,positive
649,Great service and friendly delivery partner,positive
650,Very happy with the app and delivery speed,positive
651,Smooth ordering and fast checkout,positive
652,Experience was neither good nor bad,neutral
653,Not happy with the overall service,negative
654,"Amazing experience, will order again",positive
655,Very happy with the app and delivery speed,positive
656,"Super quick delivery, highly recommended",positive
657,"Delivery was okay, nothing special",neutral
658,Support team responded late,neutral
659,"Super quick delivery, highly recommended",positive
660,Not happy with the overall service,negative
661,Not happy with the overall service,negative
662,Experience was neither good nor bad,neutral
663,Very happy with the app and delivery speed,positive
664,Customer service is very bad,negative
665,"Amazing experience, will order again",positive
666,Loved the quick service and fresh products,positive
667,Not happy with the overall service,negative
668,Delivery was very late and disappointing,negative
669,Smooth ordering and fast checkout,positive
670,"Service is average, could be better",neutral
671,Prices are slightly high but service is okay,neutral
672,Not happy with the overall service,negative
673,App keeps crashing frequently,negative
674,Excellent experience with instant delivery,positive
675,"Very slow delivery, not satisfied",negative
676,"Amazing experience, will order again",positive
677,"Delivery was okay, nothing special",neutral
678,"Very slow delivery, not satisfied",negative
679,Customer service is very bad,negative
680,"Amazing experience, will order again",positive
681,Support team responded late,neutral
682,App works fine most of the time,neutral
683,Support team responded late,neutral
684,Delivery was super fast and very convenient,positive
685,Customer service is very bad,negative
686,Products were fresh and well packed,positive
687,Delivery was super fast and very convenient,positive
688,Support team responded late,neutral
689,Terrible service and rude delivery partner,negative
690,Terrible service and rude delivery partner,negative
691,Wrong items delivered again,negative
692,App keeps crashing frequently,negative
693,"Service is average, could be better",neutral
694,App keeps crashing frequently,negative
695,Wrong items delivered again,negative
696,Not happy with the overall service,negative
697,"Amazing experience, will order again",positive
698,"Service is average, could be better",neutral
699,"Very slow delivery, not satisfied",negative
700,Experience was neither good nor bad,neutral
701,Refund process is too slow,negative
702,Products were damaged and poorly packed,negative
703,App keeps crashing frequently,negative
704,Products were fresh and well packed,positive
705,Very happy with the app and delivery speed,positive
706,"Very slow delivery, not satisfied",negative
707,Smooth ordering and fast checkout,positive
708,"Delivery was okay, nothing special",neutral
709,"Worst experience, order got cancelled",negative
710,"Super quick delivery, highly recommended",positive
711,Very happy with the app and delivery speed,positive
712,"Worst experience, order got cancelled",negative
713,Support team responded late,neutral
714,Smooth ordering and fast checkout,positive
715,"Worst experience, order got cancelled",negative
716,Very happy with the app and delivery speed,positive
717,App works fine most of the time,neutral
718,"Very slow delivery, not satisfied",negative
719,Not happy with the overall service,negative
720,App keeps crashing frequently,negative
721,Customer service is very bad,negative
722,"Very slow delivery, not satisfied",negative
723,"Delivery was okay, nothing special",neutral
724,Refund process is too slow,negative
725,"Very slow delivery, not satisfied",negative
726,Delivery time was acceptable,neutral
727,"Worst experience, order got cancelled",negative
728,Products were fresh and well packed,positive
729,Overall experience is normal,neutral
730,Refund process is too slow,negative
731,Delivery was super fast and very convenient,positive
732,Excellent experience with instant delivery,positive
733,"Super quick delivery, highly recommended",positive
734,"Service is average, could be better",neutral
735,Delivery was super fast and very convenient,positive
736,"Very slow delivery, not satisfied",negative
737,"Service is average, could be better",neutral
738,App works fine most of the time,neutral
739,Smooth ordering and fast checkout,positive
740,Delivery was super fast and very convenient,positive
741,"Delivery was okay, nothing special",neutral
742,App works fine most of the time,neutral
743,Delivery time was acceptable,neutral
744,App keeps crashing frequently,negative
745,"Super quick delivery, highly recommended",positive
746,Experience was neither good nor bad,neutral
747,Delivery time was acceptable,neutral
748,Refund process is too slow,negative
749,Prices are slightly high but service is okay,neutral
750,Support team responded late,neutral
751,Refund process is too slow,negative
752,Customer support was very helpful,positive
753,Not happy with the overall service,negative
754,Experience was neither good nor bad,neutral
755,App works fine most of the time,neutral
756,"Very slow delivery, not satisfied",negative
757,Not happy with the overall service,negative
758,"Worst experience, order got cancelled",negative
759,Product quality is fine,neutral
760,Loved the quick service and fresh products,positive
761,Delivery was very late and disappointing,negative
762,"Amazing experience, will order again",positive
763,Products were fresh and well packed,positive
764,"Super quick delivery, highly recommended",positive
765,Products were fresh and well packed,positive
766,Wrong items delivered again,negative
767,Refund process is too slow,negative
768,Excellent experience with instant delivery,positive
769,Order arrived as expected,neutral
770,Loved the quick service and fresh products,positive
771,"Super quick delivery, highly recommended",positive
772,Smooth ordering and fast checkout,positive
773,Smooth ordering and fast checkout,positive
774,Very happy with the app and delivery speed,positive
775,Delivery was super fast and very convenient,positive
776,Delivery was very late and disappointing,negative
777,Customer service is very bad,negative
778,Refund process is too slow,negative
779,Support team responded late,neutral
780,App works fine most of the time,neutral
781,Overall experience is normal,neutral
782,Customer support was very helpful,positive
783,"Super quick delivery, highly recommended",positive
784,Smooth ordering and fast checkout,positive
785,"Amazing experience, will order again",positive
786,Prices are slightly high but service is okay,neutral
787,Terrible service and rude delivery partner,negative
788,Great service and friendly delivery partner,positive
789,"Worst experience, order got cancelled",negative
790,"Delivery was okay, nothing special",neutral
791,Smooth ordering and fast checkout,positive
792,Products were damaged and poorly packed,negative
793,Loved the quick service and fresh products,positive
794,Loved the quick service and fresh products,positive
795,Smooth ordering and fast checkout,positive
796,Prices are slightly high but service is okay,neutral
797,"Worst experience, order got cancelled",negative
798,Products were fresh and well packed,positive
799,App keeps crashing frequently,negative
800,"Delivery was okay, nothing special",neutral
801,Terrible service and rude delivery partner,negative
802,Customer service is very bad,negative
803,Great service and friendly delivery partner,positive
804,"Delivery was okay, nothing special",neutral
805,Products were damaged and poorly packed,negative
806,Delivery was super fast and very convenient,positive
807,Loved the quick service and fresh products,positive
808,Terrible service and rude delivery partner,negative
809,Great service and friendly delivery partner,positive
810,"Worst experience, order got cancelled",negative
811,Terrible service and rude delivery partner,negative
812,"Amazing experience, will order again",positive
813,Wrong items delivered again,negative
814,Overall experience is normal,neutral
815,Smooth ordering and fast checkout,positive
816,"Super quick delivery, highly recommended",positive
817,Very happy with the app and delivery speed,positive
818,Refund process is too slow,negative
819,"Super quick delivery, highly recommended",positive
820,App keeps crashing frequently,negative
